duration,job,judgment,unit,wqs,wqs_initial
170.0,1,1,1,0.9227427391311995,0.9258363079657542
125.0,1,1,1,0.9423686271243386,0.9258363079657542
114.85,2,20,20,0.711243938040912,0.6434826366947998
67.66388888888889,2,38,38,0.6655849495804,0.5904632232037351
81.24242424242425,1,33,33,0.6146714991083791,0.5114328073134287
72.66666666666667,1,33,33,0.6288098989613827,0.5227013071927333
69.66666666666667,1,3,3,0.6551795329899773,0.5358164683478828
129.69807692307694,2,66,66,0.7077983387433407,0.6165230812489794
61.5,1,2,2,0.3420474126453802,0.33995005182504245
44.18181818181819,2,28,28,0.44989107347064755,0.41799574785557136
23.225490196078432,2,37,37,0.6329133526338506,0.569515227328466
53.77777777777778,1,9,9,0.6958840707731256,0.6286705673813282
76.66666666666667,1,3,3,0.9065126873105135,0.8590845517961359
547.4,1,5,5,0.740707247067446,0.6545729475736287
120.6,1,5,5,0.5383139637867882,0.49002809610388715
157.3,1,10,10,0.6419730428163315,0.5642588676191472
63.833333333333336,1,6,6,0.7433713522887241,0.6938557746972818
90.25,1,4,4,0.8344275756104326,0.7771001009471517
40.88416666666667,2,98,98,0.6143551457587301,0.554880690154232
72.6,1,10,10,0.30534859085054916,0.283988941011123
59.0425,2,90,90,0.5259146104772532,0.4419111946005371
204.8,1,5,5,0.7611771747251855,0.6693520043881667
57.5,1,2,2,0.9473110068390773,0.9258363079657542
106.03,2,76,76,0.5483535321288272,0.4851723850597147
160.0,1,1,1,0.7097938944945514,0.6631976363466139
119.0,1,1,1,1.0,1.0
49.5,1,10,10,0.30552744573614654,0.27396413362918676
59.83,2,100,100,0.6051619228114102,0.541623722411882
128.75,2,100,100,0.5013310391856949,0.4563462730859165
97.0,1,1,1,0.9226811926851448,0.9258363079657542
54.0,1,3,3,0.6324673145505946,0.5381361645937357
93.68,2,100,100,0.6961196635114998,0.6177351411949531
236.76,2,100,100,0.6979553699304386,0.6287383212461342
118.0,1,1,1,0.7097938944945515,0.6631976363466139
81.18888888888888,2,28,28,0.5453632658558358,0.5146693215561101
261.0,1,3,3,0.7158582476092549,0.676872143628303
67.9375,1,16,16,0.7545997387632726,0.6763598632320504
35.95,1,20,20,0.7135365851741873,0.6437319700955394
152.5,1,2,2,0.6313384515945074,0.4765813125043544
77.625,2,30,30,0.6728875453721214,0.6115133219208896
87.33333333333333,1,3,3,0.9065126873105135,0.8590845517961359
54.0,1,5,5,0.5134565205011328,0.49177397950151075
21.683333333333334,2,34,34,0.49321796195674344,0.4576940685352638
92.5,1,2,2,0.9373094188363613,0.9258363079657542
121.1,1,10,10,0.6827424336413948,0.6016371173593045
162.0,1,4,4,0.20529918724317237,0.22943609772037002
67.31666666666666,2,21,21,0.656762295363714,0.5609595676334037
75.0,1,3,3,0.5163543519254383,0.5258426853834918
27.38625,2,66,66,0.7270552480567278,0.6422649676624187
61.0,1,16,16,0.5874929176329835,0.4780135915349568
50.0,1,1,1,0.42037676623397385,0.45714285714285713
21.5,1,4,4,0.9033710091511308,0.8574212822415633
122.36461538461538,2,76,76,0.5933890366694365,0.4963999615168525
67.0,1,1,1,0.9521590227864146,0.9258363079657542
19.47612244897959,2,99,99,0.5322542113535649,0.4418761458303936
76.6,1,10,10,0.603799242513106,0.5232377976465364
47.24,1,50,50,0.6278816220905633,0.5558914676056089
83.5,1,2,2,0.7409437348891152,0.6738954320630931
47.5,1,2,2,0.9473110068390773,0.9258363079657542
91.34615384615384,1,26,26,0.5933185823366658,0.5296540085188678
88.73809523809524,2,22,22,0.5431502004645401,0.49432478274379793
130.5284210526316,2,88,88,0.6404839421192396,0.5732692127660324
374.3333333333333,1,3,3,0.22688951911842334,0.22124762198507325
104.64142857142856,2,92,92,0.5507383025504201,0.49368958075755254
68.0,1,1,1,0.9227427391311995,0.9258363079657542
69.25,1,4,4,0.6955797670484947,0.61017766168066
134.77777777777777,1,18,18,0.6743556503957722,0.621321387318589
62.5,1,6,6,0.716026385685818,0.6318158615486433
163.25,1,4,4,0.7976839808084788,0.6767760740385454
139.875,1,8,8,0.40217906893374455,0.37295824914669035
209.95238095238096,2,10,10,0.6792937155869261,0.6033293428376126
29.5,1,2,2,0.9166028732438114,0.8771267059097019
78.66666666666667,1,3,3,0.6608653513638374,0.6463977654089056
