duration,job,judgment,unit,wqs
252.65833333333333,2,19,19,0.47738990281045873
40.15,2,32,32,0.40708298427070577
54.0,1,1,1,0.018431480067822956
23.0,1,1,1,0.9576789515971046
91.08333333333333,2,11,11,0.4138917208060634
39.5,2,2,2,0.8178941208445066
42.0,1,9,9,0.3782113470283108
84.0,1,4,4,0.38486386733188443
129.46,1,50,50,0.5096679693591148
65.27777777777777,1,36,36,0.49137072414350363
29.8,2,6,6,0.5006796116128949
149.13684210526316,2,44,44,0.47419212033891
160.33333333333334,1,3,3,0.7822193236286783
165.3125,1,16,16,0.5858513742830614
94.5,1,4,4,0.5248558175396338
9.0,1,1,1,0.9576789515971048
47.35,2,16,16,0.5334106829527879
35.81904761904762,2,36,36,0.541311625784085
54.141304347826086,2,48,48,0.5507859113921559
166.6429587482219,2,56,56,0.34090475516190194
139.22222222222223,1,9,9,0.45658915109722303
62.42857142857143,1,7,7,0.501692279618183
32.0,1,1,1,0.9576789515971048
29.458333333333332,2,10,10,0.6231161473396584
71.34285714285714,1,35,35,0.5809897683313197
48.15,2,55,55,0.39409931727505554
54.23428571428571,2,85,85,0.24432061254925733
72.25806451612904,1,31,31,0.5478776488129334
37.0,1,6,6,0.40161869881490186
170.53703703703704,2,30,30,0.5665181600006421
35.0,1,11,11,0.669434573107798
244.11805555555554,2,17,17,0.5410251979227994
60.93157894736842,2,29,29,0.4935273624458608
54.5,1,2,2,0.5355015637642465
43.888888888888886,1,27,27,0.522068477241815
9.5,2,7,7,0.2882221671993526
104.065,2,90,90,0.23027780816386553
73.5,1,2,2,0.39136832522901455
134.78378378378378,1,37,37,0.6261722235789778
26.352564102564102,2,45,45,0.46296892121184224
36.0,1,5,5,0.7705991342765445
30.525,2,14,14,0.6248777210485184
25.351052631578945,2,88,88,0.4614283390442774
42.769841269841265,2,30,30,0.38975353974922605
15.0,1,2,2,0.6371941525476187
22.55,2,51,51,0.5354716867478372
63.821969696969695,2,57,57,0.298581570485638
111.53846153846153,2,39,39,0.48167927792506265
36.595238095238095,2,37,37,0.540553063308695
51.64460784313725,2,82,82,0.4832521376478632
27.321739130434782,2,28,28,0.285909143172243
57.3421052631579,1,38,38,0.34402747100998804
106.96000000000001,2,100,100,0.5941973222236081
10.666666666666668,2,4,4,0.8891345010364355
67.6752305665349,2,56,56,0.2783328536161913
34.56545454545454,2,61,61,0.47088384493714636
74.42307692307692,1,26,26,0.6188802525364419
37.0,1,3,3,0.7740413851749351
85.39714285714285,2,85,85,0.36196674321992456
51.0,2,3,3,0.7988604691877763
