duration,job,judgment,unit,wqs,wqs_initial
69.0,1,1,1,0.26996214282171166,0.3535533905932738
88.08,1,25,25,0.38481411424436734,0.37969439933020777
63.166666666666664,2,4,4,0.47330125530159206,0.4388386574891828
36.8,1,10,10,0.5573199253348134,0.5258024732385512
17.833333333333332,1,6,6,0.39280632979668534,0.39184188036474044
25.43877551020408,2,98,98,0.8092283117720102,0.6935089792905725
33.0,1,2,2,0.8394137398707563,0.7071428571428572
171.45238095238093,2,13,13,0.5810140559591953,0.5332960439752007
464.95833333333337,2,10,10,0.6674057435028999,0.5978934450481203
15.791666666666668,2,7,7,0.659470931774468,0.5998836023965562
25.0,1,1,1,0.2699621428217117,0.3535533905932738
26.509999999999998,2,100,100,0.44041371076292307,0.41456783737243647
33.660984848484844,2,49,49,0.7098098771696085,0.5845103297191061
50.99591836734694,2,99,99,0.8175542469864556,0.7091963298631941
71.9590909090909,2,27,27,0.5764006865101148,0.5161941090301104
38.93333333333334,2,32,32,0.6576438881816776,0.5304434183321824
17.546666666666667,2,53,53,0.5552406065132054,0.5072707940313347
117.20288248337029,2,85,85,0.589174444185514,0.5248353193740672
50.79069767441861,2,53,53,0.44128515249356953,0.4034583380197002
54.90909090909091,2,13,13,0.5922070148891476,0.5620200082814454
15.5,2,4,4,0.7769260819832131,0.6833734593916063
202.19,2,100,100,0.5661430687044167,0.5162521952782672
56.0,1,1,1,0.6274041803298791,0.5619582489352742
68.32857142857144,2,12,12,0.44187215331133456,0.4203268130691887
20.8,1,5,5,0.4610118989999084,0.3563609466640586
19.8,1,10,10,0.7464228652984192,0.6843978613026614
19.5,1,2,2,0.3590700311642739,0.43670762596721696
15.233333333333334,2,8,8,0.4450474271566759,0.4329689173089421
36.8,1,10,10,0.3399952933525598,0.3369517092052524
43.870000000000005,2,100,100,0.38665839096036936,0.3684567067656294
51.03,2,100,100,0.4696483210292038,0.4379292009157086
18.5,2,6,6,0.38722584563804896,0.42615912590643545
105.71428571428571,2,14,14,0.5158799007870757,0.4156411849214975
41.62833333333334,2,62,62,0.40457589753557377,0.3873230081949884
61.099999999999994,2,10,10,0.526437732724386,0.4855174222250895
21.981428571428573,2,99,99,0.5920563359582945,0.5182123573324472
28.636363636363633,2,22,22,0.49056997210576014,0.4669354467018497
85.16666666666667,2,4,4,0.7994505561106666,0.6813166704681737
31.29,2,100,100,0.8062479369577578,0.6931464214082633
30.240000000000002,2,100,100,0.8137836015978955,0.707666298289964
23.33,2,100,100,0.8151126719470223,0.7050694714279829
16.1875,2,12,12,0.63685630510775,0.5832206269223164
27.75,2,13,13,0.6184200321422466,0.5500019192541471
32.02727272727273,2,37,37,0.8356016839774214,0.7472409880374314
55.833333333333336,1,6,6,0.5011593199706211,0.4534700462107993
63.375,2,6,6,0.45133242184988476,0.44211421483164465
32.666666666666664,1,3,3,0.3351091356972107,0.25610710176645424
24.75,2,8,8,0.7268312105108551,0.5816029736225812
108.89285714285714,2,36,36,0.5077187512814154,0.46674068029026955
70.05,2,20,20,0.5201891871988523,0.45531787152218517
20.27,2,100,100,0.7497074938118359,0.645349412521318
18.5,1,2,2,0.3742441937034368,0.35
