duration,job,judgment,unit,wqs,wqs_initial
191.0,1,3,3,0.1779363262237753,0.1861735356504985
43.385714285714286,2,41,41,0.02997022229711409,0.05061295254245402
112.01304347826087,2,56,56,0.38191214924651556,0.3341495942737703
23.0,1,1,1,0.7056662683827973,0.6631976363466139
46.1,1,10,10,0.6023994257747702,0.5097071216383516
29.666666666666668,1,3,3,0.7168094940018103,0.6402128368125567
54.392857142857146,2,27,27,0.368980429124958,0.3313426390474099
195.3,1,10,10,0.175801674292664,0.14858372454978505
29.0,1,1,1,0.13432669679890896,0.16774150449945655
40.75833333333333,2,57,57,0.2628841262475223,0.21750183518678243
42.75,1,4,4,0.025930682788468596,0.02886271073676845
649.4,1,5,5,0.1400303514406277,0.1689474243862619
57.0,1,2,2,0.3273809183275087,0.26657180613009407
120.6,1,10,10,0.3006134610448836,0.25298145353829665
82.0,1,9,9,0.1990249030246647,0.2015785196458022
103.92,2,60,60,0.34780985990195956,0.2861222731337792
243.11764705882354,1,17,17,0.6457668747869304,0.5705985705663031
34.8,1,5,5,0.509329815277036,0.44910488733682563
32.9,1,10,10,0.47913290372456147,0.41224011624914464
59.238297872340425,2,57,57,0.44709528015917793,0.3650029776722687
86.64,2,27,27,0.38880772715768586,0.34673477391765006
84.51538461538462,2,44,44,0.5052356662519457,0.4186352001229497
120.12,2,60,60,0.44090353736350046,0.36520578315558055
274.1604347826087,2,73,73,0.4657779399018722,0.38347367020077994
102.66666666666666,2,4,4,0.3287303133918198,0.2651835388858006
33.92972972972973,2,87,87,0.46404471296620764,0.3864203504571619
37.69444444444444,2,15,15,0.540057453039496,0.4582126406876221
51.83,2,100,100,0.30383946749267826,0.25284551004658956
108.63636363636364,2,14,14,0.4433467062547396,0.3615738610068011
38.75287356321839,2,32,32,0.28938990989602686,0.2560479142578104
103.36902439024391,2,91,91,0.24434346653364009,0.21283762799436573
34.69,2,100,100,0.30498044166713906,0.25545203528782023
141.14285714285714,1,7,7,0.4638833185049409,0.4036673622824117
42.62565217391304,2,73,73,0.4159357785269452,0.3418021863021384
127.97971014492754,2,76,76,0.08711746021491051,0.10229543054741255
54.71875,2,36,36,0.23323227129215174,0.18592103317957107
35.57142857142857,1,7,7,0.6272386224342837,0.5307830922404675
56.42857142857143,1,7,7,0.52550459982837,0.44269144819301987
165.3751282051282,2,89,89,0.4531901346556611,0.3802141464374396
69.83333333333333,1,12,12,0.2663159592232981,0.22718492085891043
30.49264705882353,2,21,21,0.5396410974593483,0.4157176975581291
149.60333333333332,2,56,56,0.30559284977410806,0.26743050386171413
39.73974358974359,2,89,89,0.46344277667307415,0.3857034895522444
26.4,1,5,5,0.18153314074598145,0.1488900047734648
90.0,1,1,1,0.8044380127818667,0.7569346995111264
54.0,1,10,10,0.7274365856933109,0.667613016810221
137.24,2,60,60,0.22893631180398713,0.20426882146186354
29.67,2,100,100,0.38870012498434864,0.3315538943592646
144.35,2,56,56,0.38846139402565866,0.30629140403143656
