duration,job,judgment,unit,wqs
60.0,1,1,1,0.4554730362722065
21.375,1,8,8,0.2901279792537239
96.45,2,31,31,0.24756204473343807
108.6842105263158,1,19,19,0.21830386048221448
157.58766233766232,2,25,25,0.4891943240263319
259.1309523809524,2,13,13,0.2624205648114026
67.0,2,21,21,0.48618720783304303
39.0,2,20,20,0.31216149662763204
47.71666666666667,2,22,22,0.3265171326510019
142.5,1,10,10,0.16689737814818517
395.0,1,8,8,0.34576528076790963
57.76,2,30,30,0.5083131109962167
36.40909090909091,1,22,22,0.45626466172799096
145.6529411764706,2,67,67,0.46904800936700825
39.25,1,4,4,0.15685231259901092
34.40579710144928,2,26,26,0.5762184351845223
164.52941176470588,1,34,34,0.5963541248216543
34.0,1,6,6,0.38183988067386543
112.0,1,1,1,0.4278128408893965
107.0,1,1,1,0.35356087508971507
27.426153846153845,2,63,63,0.24881133353186402
119.50653594771242,2,43,43,0.34694141454048333
169.18666666666667,2,65,65,0.5219680893577274
188.53658536585365,2,46,46,0.539010878349117
34.45,2,60,60,0.37347519847896177
112.12121212121212,1,33,33,0.372437845103113
93.0,1,1,1,0.35454973955047214
26.00714285714286,2,19,19,0.37391559026566495
315.0,1,1,1,0.1751292383668182
62.0,1,1,1,0.24524930233300524
50.0,1,6,6,0.17566489222427478
78.55000000000001,2,100,100,0.4008790411223507
41.285714285714285,1,7,7,0.7319256151874446
62.010000000000005,2,100,100,0.15980569271745174
26.06,2,26,26,0.2145167318419363
42.040000000000006,2,60,60,0.38271487902584267
64.3,2,100,100,0.17670749037996122
82.05,2,13,13,0.1928772311714127
45.857142857142854,1,7,7,0.18089762245638294
65.5,1,2,2,0.4693095191898211
33.37470588235294,2,67,67,0.25894227065778735
80.16666666666667,2,9,9,0.5072682036671396
158.82999999999998,2,51,51,0.5675807172915067
49.22,2,100,100,0.13513333277506234
61.333333333333336,1,6,6,0.4134495681460846
192.32545454545453,2,61,61,0.24016874885260425
186.87619047619046,2,56,56,0.35620777894262845
71.66666666666667,1,6,6,0.45988333220297756
50.79,2,100,100,0.16966608450409304
122.24000000000001,2,50,50,0.4262604983325209
163.0,1,4,4,0.32007448668761285
141.9695652173913,2,56,56,0.43667916473062485
84.48809523809524,2,52,52,0.41005475515890555
