F1_nr_binary,F1_n_binary,F1_nr_ternary,F1_r_ternary,F1_hr_ternary
0.7747747747747747,0.7933884297520661,0.7747747747747747,0.24561403508771928,0.40625
0.8333333333333334,0.8548387096774194,0.8333333333333334,0.3793103448275862,0.5454545454545454
0.7547169811320755,0.7936507936507936,0.7547169811320755,0.11320754716981132,0.547945205479452
0.7878787878787878,0.8421052631578947,0.7878787878787878,0.2909090909090909,0.5897435897435898
0.7961165048543689,0.8372093023255814,0.7961165048543689,0.2033898305084746,0.45714285714285713
0.7796610169491526,0.7719298245614035,0.7796610169491526,0.23529411764705882,0.6031746031746031
0.8163265306122449,0.8656716417910447,0.8163265306122449,0.32142857142857145,0.5641025641025641
0.7747747747747747,0.7933884297520661,0.7747747747747747,0.21428571428571427,0.49230769230769234
0.7586206896551724,0.7586206896551724,0.7586206896551724,0.22641509433962265,0.6666666666666666
0.66,0.7424242424242424,0.66,0.3492063492063492,0.5797101449275363
0.7747747747747747,0.7933884297520661,0.7747747747747747,0.1509433962264151,0.5294117647058824
0.72,0.7878787878787878,0.72,0.27586206896551724,0.5135135135135135
0.7741935483870968,0.8489208633093526,0.7741935483870968,0.26229508196721313,0.48717948717948717
0.7610619469026548,0.773109243697479,0.7610619469026548,0.32786885245901637,0.41379310344827586
0.782608695652174,0.7863247863247863,0.782608695652174,0.3137254901960784,0.5151515151515151
0.8461538461538461,0.875,0.8461538461538461,0.24,0.5128205128205128
0.8571428571428571,0.8818897637795275,0.8571428571428571,0.22641509433962265,0.5675675675675675
0.8301886792452831,0.8571428571428571,0.8301886792452831,0.3333333333333333,0.5277777777777778
0.7735849056603774,0.8095238095238095,0.7735849056603774,0.2807017543859649,0.463768115942029
0.8181818181818182,0.8360655737704918,0.8181818181818182,0.15384615384615385,0.4857142857142857
0.7526881720430108,0.8345323741007195,0.7526881720430108,0.1694915254237288,0.475
0.7378640776699029,0.7906976744186046,0.7378640776699029,0.25396825396825395,0.5454545454545454
0.8,0.8346456692913385,0.8,0.10714285714285714,0.36619718309859156
0.7326732673267327,0.7938931297709924,0.7326732673267327,0.16666666666666666,0.4788732394366197
0.8679245283018868,0.8888888888888888,0.8679245283018868,0.23529411764705882,0.5066666666666667
0.7962962962962963,0.8225806451612904,0.7962962962962963,0.27450980392156865,0.6027397260273972
0.7474747474747475,0.8120300751879699,0.7474747474747475,0.08163265306122448,0.47619047619047616
0.8080808080808081,0.8571428571428571,0.8080808080808081,0.3225806451612903,0.4788732394366197
0.8686868686868687,0.9022556390977443,0.8686868686868687,0.4067796610169492,0.5945945945945946
0.7766990291262136,0.8217054263565892,0.7766990291262136,0.2711864406779661,0.5428571428571428
0.7130434782608696,0.717948717948718,0.7130434782608696,0.2857142857142857,0.5245901639344263
0.7478260869565218,0.7521367521367521,0.7478260869565218,0.21428571428571427,0.4262295081967213
0.7407407407407407,0.7741935483870968,0.7407407407407407,0.3225806451612903,0.5483870967741935
0.8333333333333334,0.8548387096774194,0.8333333333333334,0.32,0.6216216216216216
0.7610619469026548,0.773109243697479,0.7610619469026548,0.21428571428571427,0.5396825396825397
0.803921568627451,0.8461538461538461,0.803921568627451,0.2857142857142857,0.5405405405405406
0.7450980392156863,0.8,0.7450980392156863,0.2909090909090909,0.5066666666666667
0.7521367521367521,0.7478260869565218,0.7521367521367521,0.14545454545454545,0.5
0.7663551401869159,0.8,0.7663551401869159,0.10909090909090909,0.45714285714285713
0.8108108108108109,0.8264462809917356,0.8108108108108109,0.2857142857142857,0.5230769230769231
0.7961165048543689,0.8372093023255814,0.7961165048543689,0.2222222222222222,0.5333333333333333
0.7863247863247863,0.782608695652174,0.7863247863247863,0.36363636363636365,0.4666666666666667
0.8431372549019608,0.8769230769230769,0.8431372549019608,0.27450980392156865,0.5822784810126582
0.8,0.8613138686131386,0.8,0.21052631578947367,0.575
0.8103448275862069,0.8103448275862069,0.8103448275862069,0.24489795918367346,0.5671641791044776
0.8113207547169812,0.8412698412698413,0.8113207547169812,0.20689655172413793,0.4117647058823529
0.7766990291262136,0.8217054263565892,0.7766990291262136,0.29508196721311475,0.5294117647058824
0.7663551401869159,0.8,0.7663551401869159,0.21818181818181817,0.5428571428571428
0.7964601769911505,0.8067226890756303,0.7964601769911505,0.33962264150943394,0.6363636363636364
0.8,0.8484848484848485,0.8,0.2222222222222222,0.5641025641025641
0.7636363636363637,0.7868852459016393,0.7636363636363637,0.3018867924528302,0.463768115942029
0.7735849056603774,0.8095238095238095,0.7735849056603774,0.25925925925925924,0.5833333333333334
0.7307692307692307,0.78125,0.7307692307692307,0.3728813559322034,0.5217391304347826
0.7304347826086957,0.7350427350427351,0.7304347826086957,0.27586206896551724,0.4406779661016949
0.7766990291262136,0.8217054263565892,0.7766990291262136,0.2807017543859649,0.5
0.7818181818181819,0.8032786885245902,0.7818181818181819,0.2909090909090909,0.5373134328358209
0.7272727272727273,0.7969924812030075,0.7272727272727273,0.16393442622950818,0.4444444444444444
0.7547169811320755,0.7936507936507936,0.7547169811320755,0.19230769230769232,0.5135135135135135
0.7321428571428571,0.75,0.7321428571428571,0.3076923076923077,0.5588235294117647
0.7961165048543689,0.8372093023255814,0.7961165048543689,0.2641509433962264,0.5263157894736842
0.8,0.8346456692913385,0.8,0.2909090909090909,0.5833333333333334
0.7706422018348624,0.7967479674796748,0.7706422018348624,0.2857142857142857,0.47761194029850745
0.8,0.8613138686131386,0.8,0.2033898305084746,0.5128205128205128
0.6909090909090909,0.7213114754098361,0.6909090909090909,0.27586206896551724,0.40625
0.7450980392156863,0.8,0.7450980392156863,0.3050847457627119,0.4507042253521127
0.7567567567567568,0.7768595041322314,0.7567567567567568,0.3,0.5573770491803278
0.8076923076923077,0.84375,0.8076923076923077,0.2807017543859649,0.5633802816901409
0.8245614035087719,0.8305084745762712,0.8245614035087719,0.19230769230769232,0.42424242424242425
0.8037383177570093,0.832,0.8037383177570093,0.25925925925925924,0.5070422535211268
0.8380952380952381,0.8661417322834646,0.8380952380952381,0.32786885245901637,0.5454545454545454
