duration,job,judgment,unit,wqs,wqs_initial
170.0,1,1,1,0.29593383043193305,0.27728427395169875
125.0,1,1,1,0.2374503444357558,0.27728427395169875
114.85,2,20,20,0.290316045774758,0.24290440142790784
67.66388888888889,2,38,38,0.3431941631879658,0.2814213977256146
81.24242424242425,1,33,33,0.22643352971807412,0.27697386243537353
72.66666666666667,1,33,33,0.22300537835785997,0.27528435295844367
69.66666666666667,1,3,3,0.16954292333979615,0.14384691287464701
129.69807692307694,2,66,66,0.36101807278624437,0.3196506422774027
61.5,1,2,2,0.20411177345437823,0.16383411009836696
44.18181818181819,2,28,28,0.14251389461161315,0.14961644626352716
23.225490196078432,2,37,37,0.4514613536818021,0.3697560604111112
53.77777777777778,1,9,9,0.5278849273226418,0.4160235086045844
76.66666666666667,1,3,3,0.31300049461179663,0.2781439205261832
547.4,1,5,5,0.27717033810117575,0.22762138423743053
120.6,1,5,5,0.34613187873794915,0.24865922812708022
157.3,1,10,10,0.5007210526573417,0.3570527219154017
63.833333333333336,1,6,6,0.6057268087312206,0.46357649475344165
90.25,1,4,4,0.41553521614046235,0.3068088306286294
40.88416666666667,2,98,98,0.48910383410561414,0.3682989251202564
72.6,1,10,10,0.15540082500523025,0.12877025271204798
59.0425,2,90,90,0.0918236932712334,0.1397085129843916
204.8,1,5,5,0.15401430050860596,0.16548937328023755
57.5,1,2,2,0.32930803933863967,0.32542390484609096
106.03,2,76,76,0.4400873738084868,0.3234440800069705
160.0,1,1,1,0.11579707567527338,0.1385917857350474
119.0,1,1,1,0.33036849072829094,0.3535533905932738
49.5,1,10,10,0.08521424193011509,0.16844648641128873
59.83,2,100,100,0.46374273005146655,0.32853744201734136
128.75,2,100,100,0.4037139844872347,0.30036889806976214
97.0,1,1,1,0.04624546577676843,0.061294023594359495
54.0,1,3,3,0.31067372233291035,0.2456236603094118
93.68,2,100,100,0.45094780205837415,0.3335922316245447
236.76,2,100,100,0.4278330592892377,0.3056644844787536
118.0,1,1,1,0.2551910011609913,0.21980623389166556
81.18888888888888,2,28,28,0.38712343341858585,0.3014584905988529
261.0,1,3,3,0.4493665569484303,0.3575783411465083
67.9375,1,16,16,0.50262990955277,0.3530807802028024
35.95,1,20,20,0.4805693418542381,0.3798042379045054
152.5,1,2,2,0.32434134436877515,0.30484960719522075
77.625,2,30,30,0.41522461914990577,0.3256156801959185
87.33333333333333,1,3,3,0.25017977562852456,0.24824056557495627
54.0,1,5,5,0.3775725799087824,0.2840833719016065
21.683333333333334,2,34,34,0.467202318658475,0.3581905422928553
92.5,1,2,2,0.37539026835280737,0.37741470621203443
121.1,1,10,10,0.3104321128707824,0.2785414483967779
162.0,1,4,4,0.26312242570579053,0.15706981282212548
67.31666666666666,2,21,21,0.22177831928366856,0.19319804288432466
75.0,1,3,3,0.7501331991626746,0.5419903478744641
27.38625,2,66,66,0.39610969365912013,0.34642452841359617
61.0,1,16,16,0.11706047050382357,0.13465571604713064
50.0,1,1,1,0.6547144315099875,0.4987837491108397
21.5,1,4,4,0.419176883402037,0.3527382210233729
122.36461538461538,2,76,76,0.16168037186290127,0.2386951087844781
67.0,1,1,1,0.18308763097565042,0.18823081310526069
19.47612244897959,2,99,99,0.13139451907380834,0.2102304821105403
76.6,1,10,10,0.07255436389253998,0.08060633846815457
47.24,1,50,50,0.5140239322200995,0.35573247560980303
83.5,1,2,2,0.2259297877397347,0.22182930382745894
47.5,1,2,2,0.37138324756175406,0.32542390484609096
91.34615384615384,1,26,26,0.47292259212794063,0.35032110989862425
88.73809523809524,2,22,22,0.31737256124430013,0.23496951981286712
130.5284210526316,2,88,88,0.41488749444097356,0.2828155348948242
374.3333333333333,1,3,3,0.02784852883509893,0.056525568922039825
104.64142857142856,2,92,92,0.4523797763168075,0.33311326637619887
68.0,1,1,1,0.24992038331004446,0.27728427395169875
69.25,1,4,4,0.2884333764097538,0.2507152774227293
134.77777777777777,1,18,18,0.357377035843182,0.27327458717198577
62.5,1,6,6,0.24896238060990142,0.24907093945250203
163.25,1,4,4,0.19325265426115548,0.21277031327682408
139.875,1,8,8,0.2691955934472667,0.19526003944162124
209.95238095238096,2,10,10,0.41673415428326077,0.3446608705470614
29.5,1,2,2,0.39557459894744423,0.3244461778691707
78.66666666666667,1,3,3,0.726793831475986,0.6141330445508011
