duration,job,judgment,unit,wqs
65.5,2,4,4,0.0939218820449981
108.0,1,6,6,0.6473890324864423
44.333333333333336,1,3,3,0.8579366073182899
78.83333333333334,2,17,17,0.3278343553597614
22.049319727891156,2,55,55,0.8630419870411543
56.0,1,1,1,0.6282272969759266
221.0,1,1,1,0.9604134590895262
156.9,1,10,10,0.63380214528798
28.333333333333332,2,11,11,0.5325853970895599
86.82758620689656,2,31,31,0.5809803423742992
69.15578947368421,2,69,69,0.889378273120787
24.418367346938773,2,98,98,0.833354167749891
50.97959183673469,1,49,49,0.8927993233666994
45.25,1,4,4,0.628904060020567
71.75,2,8,8,0.6079697017338217
23.431818181818183,1,44,44,0.8406864366563612
54.378787878787875,2,28,28,0.47487403129359007
83.0,1,1,1,0.017896288287515442
28.1,1,10,10,0.6452509583277464
93.18863636363636,2,31,31,0.3900462850738066
78.07,2,100,100,0.6581271640621044
53.833333333333336,2,56,56,0.6370952695585786
317.6095238095238,2,51,51,0.4210611640677947
32.485,2,70,70,0.36746494640104926
29.59,2,54,54,0.8055927775365544
62.10291666666667,2,98,98,0.41626086794880485
184.14,2,100,100,0.2929123013097755
88.7,2,25,25,0.4404579123363764
31.163636363636364,2,61,61,0.7197738665095169
101.70416666666667,2,34,34,0.6797513656180332
146.74489795918367,2,56,56,0.5913781650524514
69.0,1,1,1,0.20679425169051213
23.508333333333333,2,58,58,0.8824644065691155
13.9,1,10,10,0.8131930925817918
30.122448979591837,1,49,49,0.8939141483199133
18.4,1,10,10,0.8131930925817918
23.77,2,100,100,0.8438538709383882
19.189999999999998,2,100,100,0.8438538709383879
32.19,2,60,60,0.578887737351879
19.80952380952381,2,22,22,0.8795572499961484
23.65,2,33,33,0.8456389202079794
21.333333333333332,1,3,3,0.8712144349074991
173.32857142857142,2,17,17,0.6455587378511907
69.18571428571428,2,64,64,0.7741059355991018
21.2,1,50,50,0.8932952945180406
38.111111111111114,1,9,9,0.11153731528166602
95.29545454545455,2,24,24,0.7746245826893509
