duration,job,judgment,unit,wqs
164.3674418604651,2,53,53,0.5356403626451338
25.32,1,25,25,0.5126033067253528
52.25,1,4,4,0.677263885055949
167.0909090909091,2,26,26,0.45643594358662953
28.5,2,4,4,0.274514060015997
51.6,2,11,11,0.5826815743493253
61.53488372093023,1,43,43,0.41413778322255096
39.70192307692308,2,17,17,0.5249686783662959
96.32352941176471,2,23,23,0.3643734324925254
74.0,1,2,2,0.48173125012862245
37.120000000000005,2,54,54,0.47020137181972693
25.5,1,2,2,0.5033371497152349
34.83333333333333,2,25,25,0.5718367895502493
160.0,1,1,1,0.6414420912257742
144.04,2,60,60,0.40381593370582053
34.2,1,5,5,0.2507726037626323
87.0,1,1,1,0.4690181929832095
88.33333333333333,1,18,18,0.5527403573387685
51.59117647058824,2,84,84,0.47094658892117086
40.111111111111114,1,9,9,0.5710816600785095
89.0,1,1,1,0.3230367694751633
73.02000000000001,2,100,100,0.24519807434687035
33.7,1,10,10,0.6164400926793937
152.80392156862746,2,37,37,0.533114077976487
175.11627906976744,2,93,93,0.4933468003804042
54.0,1,1,1,0.6240704247974719
43.5,1,6,6,0.4406619277590879
64.0,1,1,1,0.8555823476044089
36.23529411764706,1,34,34,0.3083837762949395
9.5,2,3,3,0.2933827733690548
130.07,2,60,60,0.4692969701627054
22.317307692307693,2,17,17,0.5542684232545583
124.93,2,60,60,0.4462114919868299
21.96,2,35,35,0.37684560853118976
30.0,1,1,1,0.7316359498018984
34.37083333333333,2,34,34,0.5773648988622003
12.8,1,5,5,0.6037595038272803
30.32142857142857,2,91,91,0.4439410816831495
29.666666666666668,1,3,3,0.5119571782894539
115.85714285714286,1,21,21,0.33984885393528563
56.0,1,3,3,0.4435852937399839
48.43714285714286,2,57,57,0.4249468580996542
106.10416666666666,2,22,22,0.25553458731914824
126.5625,2,9,9,0.36155379266283894
127.2,2,20,20,0.41321126035596023
64.48285714285714,2,60,60,0.5436597458805694
391.25,1,4,4,0.12464821925060161
30.51388888888889,2,44,44,0.3365707739811378
80.37,2,100,100,0.4747072131159241
84.0,1,2,2,0.022074560407331793
82.5,2,100,100,0.5905077594214191
58.34511784511785,2,38,38,0.5436568295591261
165.5,1,2,2,0.6449028478075443
108.0,2,24,24,0.2953507535025227
119.25,1,4,4,0.619761713098087
28.03900709219858,2,83,83,0.43943187996584
59.12,2,50,50,0.5275287680309236
38.142857142857146,1,7,7,0.4282724340343765
77.10714285714286,2,31,31,0.46468876371219614
